region,canton,total_pop,FRI,max_fsi,urban_ratio,building_count,min_rwi
Centrale,Atchintsè,2949.175123,0.049947890601963155,79.65420532226562,0.0,0.0,-0.569
Centrale,Diguengué,837.524443,0.03164054603994405,75.97471618652344,0.0,0.0,-0.605
Centrale,Yégué,1160.824152,0.02055455055033341,13.960480690002441,0.0,0.0,-0.503
Centrale,Dikpéléou,997.9014639999999,0.007431161390634229,12.254157066345215,0.0,0.0,-0.268
Centrale,Katchenkè,1407.753851,0.045814962592401094,78.24955749511719,0.0,0.0,-0.713
Centrale,M'Poti,3439.196117,0.05736196269129075,86.66368865966797,0.0,0.0,-0.638
Centrale,Kagnigbara,203.65336,0.04656372487592584,86.0761947631836,0.0,0.0,-0.587
Centrale,Boulohou,1255.013831,0.05386633421207991,85.39888763427734,0.0,0.0,-0.503
Centrale,Djarkpanga,2639.868328,0.05840834788140213,84.98348999023438,0.0,0.0,-0.838
Centrale,Saïboudè,2357.287642,0.05785805239085235,86.00789642333984,0.0,0.0,-0.625
Centrale,Tindjasse,2560.941002,0.06965545922765236,150.55836486816406,0.0,1.0,-0.811
Centrale,Tabindè,5424.6438259999995,0.07162944263928496,145.39089965820312,0.0,0.0,-0.8
Centrale,Sotouboua,22142.211565999998,0.14316028197337458,82.73856353759766,0.014563607892331434,3.0,-0.841
Centrale,Kaniamboua,1886.339247,0.11360974170018612,80.90870666503906,0.0,132.0,-0.885
Centrale,Séssaro,8780.183627999999,0.07075721974458465,84.22014617919922,0.0,0.0,-1.003
Centrale,Tittigbe,6432.900509,0.06620599959574323,83.57160949707031,0.0,0.0,-0.736
Centrale,Aouda,12398.803382,0.0943331062220863,83.57160949707031,0.0,5.0,-0.792
Centrale,Adjengré,13716.053796,0.10410638670462617,145.39089965820312,0.0,5.0,-0.755
Centrale,Fazao,17.222059,0.040887170841297185,83.57160949707031,0.0,0.0,0.0
Centrale,Kazaboua,5480.986876,0.06495144791989767,83.57160949707031,0.0,0.0,-0.747
Centrale,Bodjondè,1802.332236,0.062298128950825,146.48165893554688,0.0,0.0,-0.84
Centrale,Tchébébé,11434.202398,0.08499440599357586,81.36503601074219,0.0,2.0,-0.968
Centrale,Affem,12120.848194,0.07220036150479604,80.55724334716797,0.0,0.0,-0.797
Centrale,Alibi I,8947.997002,0.09318396713219963,83.57160949707031,0.0,7.0,-0.743
Centrale,Larini,19577.93677,0.242095591848631,83.46288299560547,0.016358375502299963,158.0,-1.008
Centrale,Kri-Kri,5475.045428,0.0647110052007914,81.57875061035156,0.0,0.0,-0.905
Centrale,Tchamba,51412.713723,0.2408882202204571,82.62983703613281,0.019241521264434402,50.0,-0.935
Centrale,Bago,27878.590835000003,0.08267221960789443,83.57160949707031,0.0,0.0,-0.904
Centrale,Koussountou,24763.546913000002,0.08074694899684193,83.57160949707031,0.0,0.0,-0.796
Centrale,Balanka,9922.117982,0.08776862347742136,81.30241394042969,0.0,7.0,-0.704
Centrale,Goubi,14792.722882,0.15608841649127356,82.4789047241211,0.0,198.0,-0.964
Centrale,Kaboli,33900.633549,0.09316663475903039,83.57160949707031,0.0,2.0,-0.879
Centrale,Tchalo,9271.720873,0.09151013025716914,83.46288299560547,0.0,6.0,-0.702
Centrale,Kadambara,16801.177174,0.10810654851910383,83.57160949707031,0.0028089126214598257,2.0,-0.873
Centrale,Kparataou,13737.243618,0.15287458245586755,147.2892608642578,0.0,85.0,-0.778
Centrale,Sokodè (Komah),85029.152294,0.37593565508887217,81.80297088623047,0.19362323149044225,76.0,-0.794
Centrale,Kpangalam,41461.932723,0.2130495112023384,82.80709075927734,0.05460157254048587,10.0,-0.719
Centrale,Lama-Tessi,22808.645453,0.08005245138870161,84.11141967773438,0.0,0.0,-0.826
Centrale,Kéméni,2322.3205679999996,0.05807378370574844,81.35133361816406,0.0,0.0,-0.752
Centrale,Aléhéridè,5580.463766,0.07138775706445039,148.14195251464844,0.0,0.0,-0.913
Centrale,Kolina,4013.203054,0.06786330819422812,81.43049621582031,0.0,1.0,-0.674
Centrale,Amaïde,3632.559673,0.0751198156929064,83.65978240966797,0.0,3.0,-0.828
Centrale,Wassarabo,2406.042112,0.056260744523031765,78.91783142089844,0.0,0.0,-0.933
Centrale,Kpassaouade,3560.7969350000003,0.061040408253214044,81.1848373413086,0.0,0.0,-0.811
Centrale,Agouloudè,12362.118122,0.07242294282226434,81.57875061035156,0.0,0.0,-0.745
Kara,Dako (Daoude),11084.88259,0.0696083087516142,81.7562026977539,0.0,0.0,-0.608
Kara,Bouladè,13207.208385999998,0.07290211195933494,80.78813171386719,0.0,0.0,-0.813
Kara,Bafilo,42954.934418,0.17155542907244675,82.86322021484375,0.04573033373801801,2.0,-0.663
Kara,Alédjo,15079.118251999998,0.12232918375382174,144.43252563476562,0.0,17.0,-0.65
Kara,Koumondè,7096.055648,0.0353563187462862,13.36081600189209,0.0,0.0,-0.027
Kara,Soudou,32505.294295999996,0.10807282422328564,83.19140625,0.0,5.0,-0.845
Kara,Baghan,2175.808166,0.09631159779304745,146.8404998779297,0.0,21.0,-0.453
Kara,Bassar,45754.087907,0.2867472626170452,145.08290100097656,0.004162470463711024,412.0,-0.816
