region,prefecture,canton,communaute_louvain,priority_score,FRI,total_pop
Kara,Binah,Boufalé,0,33.1,0.061399087045733,3963.105865
Kara,Binah,Pitikita,0,33.0,0.0600638489176103,3738.89042
Kara,Binah,Lama-Dessi,0,34.3,0.0671264405491115,7138.663812
Kara,Binah,Pagouda,0,36.4,0.082758790460777,16463.050477
Kara,Binah,Sirka,0,36.4,0.1066865457573657,8384.935789
Kara,Binah,Kétao,0,35.3,0.0723275342692422,14046.64716
Kara,Binah,Kémérida,0,33.8,0.0631277610511466,5699.819119
Kara,Dankpen,Naompoch,8,37.7,0.1141393669969016,12702.092056
Kara,Dankpen,Katchamba,8,35.4,0.0779180579325915,9917.82956
Kara,Dankpen,Guérin-Kouka,0,45.1,0.1890476656278959,52457.893216
Kara,Dankpen,Koulféikou,8,37.9,0.0848765512146279,16261.265483
Kara,Dankpen,Namon,0,36.8,0.0879894828925242,8472.5454
Kara,Dankpen,Natchiboré,0,37.3,0.1022031880600972,14028.482424
Kara,Dankpen,Natchitikpi,0,37.5,0.1101689609344262,8205.531848
Kara,Dankpen,Koutchitchéou,0,37.5,0.1460929678140817,8613.578546
Kara,Dankpen,Nawaré,0,38.8,0.1336795719248095,21207.03788
Kara,Dankpen,Bapuré,0,41.2,0.1682606488134899,24311.870713
Kara,Dankpen,Nandouta,0,37.6,0.0867392692547939,20903.453413
Kara,Dankpen,Kidjabou,8,43.3,0.187227866083604,29833.62956
Kara,Doufelgou,Siou,0,35.2,0.0708849758713384,10670.109294
Kara,Doufelgou,Agbandè-Yaka,0,35.8,0.0647469763560947,4911.383646
Kara,Doufelgou,Niamtougou,0,38.8,0.1372176605808839,16105.993911
Kara,Doufelgou,Ténéga,0,33.6,0.0608574702099333,4171.269717
Kara,Doufelgou,Baga,0,35.3,0.0676902981385445,7698.423546
Kara,Doufelgou,Pouda,0,33.6,0.0585362121149228,3035.160848
Kara,Doufelgou,Massédéna,0,34.5,0.0590500988310403,3132.061008
Kara,Doufelgou,Koka,0,33.3,0.0914819810337362,4422.103308
Kara,Doufelgou,Léon,0,34.8,0.0622914127347716,1669.127229
Kara,Doufelgou,Alloum,0,35.2,0.0696961978147816,4205.333538
Kara,Doufelgou,Kadjalla,0,34.9,0.0678240736424997,3555.444486
Kara,Doufelgou,Tchoré,0,33.6,0.0527374329576602,919.311405
Kara,Doufelgou,Défalé,0,34.6,0.0677551132826262,7783.778738
Kara,Doufelgou,Kpaha,0,33.3,0.0553434447115421,1743.448293
Kara,Kéran,Kantè,8,39.1,0.0899866684835148,27944.432839
Kara,Kéran,Pessidè,8,37.3,0.0836199720119382,15573.042364
Kara,Kéran,Akpontè,8,36.5,0.0729129646908354,5759.683098
Kara,Kéran,Hélota,8,36.5,0.0889632510948363,12947.449566
Kara,Kéran,Ossacré,8,34.7,0.070775020876746,10088.357398
Kara,Kéran,Ataloté,8,36.6,0.0790603487239921,10200.393674
Kara,Kéran,Nadoba,8,36.8,0.0948125031389111,21353.095694000003
Kara,Kéran,Warengo,8,36.1,0.0890226325197051,8855.958362000001
Kara,Kéran,Koutougou,0,35.2,0.0632459550187303,4674.968244000001
Kara,Kozah,Landa,0,34.3,0.0687496309047569,9830.5197
Kara,Kozah,Soumdina,0,33.8,0.0657239350957423,6961.230600000001
