region,prefecture,commune,canton,total_pop,FRI,max_fsi,min_rwi,urban_ratio,building_count,min_dist_basin,nb_ouvrages_documentes,ouvrages_pour_10000_hab,pression_actuelle,priority_score,segment,risque_eleve,canton_id
Maritime,Zio,Zio 1,Dalavé,24395.010801,0.21194754158122667,125.81331634521484,-0.461,0.017210027079362516,38.0,0.0,2.0,0.8198397681865408,8131.670267,34.8,Renforcement (vulnerabilite aux inondations),True,65
Maritime,Zio,Zio 1,Gbatopé,17898.923668,0.09163910686267604,85.989501953125,-0.624,0.0,3.0,1590.9857960374368,6.0,3.3521568733917237,2556.9890954285715,15.2,Renforcement (vulnerabilite aux inondations),False,66
Maritime,Zio,Zio 2,Mission-Tové,25356.390537,0.2021322540371957,86.14602661132812,-0.24,0.02953742662358891,28.0,1636.4502923197483,0.0,0.0,25356.390537,39.8,Nouveaux ouvrages prioritaires,True,67
Maritime,Zio,Zio 2,Kovié,15884.060914,0.09147573623819305,84.73297119140625,-0.799,0.0,3.0,632.9158614662394,0.0,0.0,15884.060914,37.5,Nouveaux ouvrages prioritaires,False,68
Maritime,Zio,Zio 2,Wli,3653.754369,0.06086096239774752,86.14602661132812,-0.667,0.0,0.0,2411.367230249152,0.0,0.0,3653.754369,34.0,Surveillance,False,69
Maritime,Zio,Zio 2,Bolou,6082.772319,0.06563511892263303,84.66444396972656,-0.604,0.0,0.0,0.0,0.0,0.0,6082.772319,34.1,Surveillance,False,70
Maritime,Zio,Zio 3,Gamé,11963.094427,0.08039335087654949,149.26828002929688,-0.796,0.0,0.0,0.0,0.0,0.0,11963.094427,36.5,Nouveaux ouvrages prioritaires,False,71
Maritime,Zio,Zio 3,Agbélouvé,26251.331589,0.09030672290164726,147.3974151611328,-0.908,0.0,0.0,0.0,0.0,0.0,26251.331589,39.3,Nouveaux ouvrages prioritaires,False,72
Maritime,Zio,Zio 4,Gapé-Centre,19731.043952,0.08629110491159186,148.86080932617188,-0.849,0.0,0.0,0.0,0.0,0.0,19731.043952,38.0,Nouveaux ouvrages prioritaires,False,73
Maritime,Zio,Zio 4,Gapé-Kpodji,1963.6692480000002,0.05629757836269759,87.29509735107422,-0.777,0.0,0.0,0.0,0.0,0.0,1963.6692480000002,34.2,Surveillance,False,74
Plateaux,Agou,Agou 1,Kati,2832.997526,0.05997199367410224,83.6141128540039,-0.691,0.0,0.0,0.0,0.0,0.0,2832.997526,34.0,Surveillance,False,75
Plateaux,Agou,Agou 1,Agou-Nyogbo-Agbétiko,3358.041634,0.06142126445953065,83.52679443359375,-0.853,0.0,0.0,0.0,0.0,0.0,3358.041634,35.0,Surveillance,False,76
Plateaux,Agou,Agou 1,Agou-Akplolo,1579.783923,0.054428643127175366,84.29131317138672,-0.555,0.0,0.0,1161.0522332385156,0.0,0.0,1579.783923,32.8,Surveillance,False,77
Plateaux,Agou,Agou 1,Agou-Iboé,1853.286566,0.055402050366673075,83.52679443359375,-0.711,0.0,0.0,0.0,0.0,0.0,1853.286566,33.8,Surveillance,False,78
Plateaux,Agou,Agou 1,Agou-Nyogbo-Dzidjole,1579.783923,0.011245905507000525,12.828466415405273,0.0,0.0,1.0,650.6061894681538,0.0,0.0,1579.783923,28.0,Surveillance,False,79
Plateaux,Agou,Agou 1,Agou-Kébo,2988.118428,0.040772794747063364,16.59954071044922,-0.539,0.0,1.0,1317.513440815776,0.0,0.0,2988.118428,32.4,Surveillance,False,80
Plateaux,Agou,Agou 1,Agou-Tavié,9870.587922,0.05100315145310413,15.446853637695312,0.612,0.0,9.0,794.43889789719,0.0,0.0,9870.587922,27.1,Surveillance,False,81
Plateaux,Agou,Agou 1,Agou-Atigbé,2204.34966,0.05478072109938878,81.84199523925781,-0.644,0.0,0.0,0.0,0.0,0.0,2204.34966,33.4,Surveillance,False,82
Plateaux,Agou,Agou 1,Gadja,16785.714448,0.08284577873863197,147.1544952392578,-0.749,0.0,0.0,0.0,0.0,0.0,16785.714448,37.0,Nouveaux ouvrages prioritaires,False,83
Plateaux,Agou,Agou 1,Assahoun-Fiagbé,2547.248496,0.05724090246033366,81.4942398071289,-0.542,0.0,0.0,0.0,0.0,0.0,2547.248496,33.0,Surveillance,False,84
Plateaux,Agou,Agou 1,Klonou,1836.402711,0.051906716585161244,79.8974380493164,-0.432,0.0,0.0,1213.7775316549826,0.0,0.0,1836.402711,32.1,Surveillance,False,85
Plateaux,Agou,Agou 2,Amoussou-Kopé,10312.239164,0.0779274290389427,146.8583526611328,-0.881,0.0,0.0,0.0,0.0,0.0,10312.239164,36.7,Nouveaux ouvrages prioritaires,False,86
Plateaux,Agou,Agou 2,Agotimé-Sud (Adzakpa),5662.664228000001,0.07391498383309988,147.19216918945312,-1.293,0.0,0.0,0.0,0.0,0.0,5662.664228000001,38.3,Surveillance,False,87
Plateaux,Agou,Agou 2,Agotimé-Nord,10548.221336,0.10340361168716485,149.79385375976562,-0.86,0.0,6.0,0.0,0.0,0.0,10548.221336,37.6,Nouveaux ouvrages prioritaires,False,88
Plateaux,Akébou,Akébou 1,Djon,12660.18081,0.06969070936232007,79.73091888427734,-0.681,0.0,0.0,0.0,0.0,0.0,12660.18081,35.5,Nouveaux ouvrages prioritaires,False,89
Plateaux,Akébou,Akébou 1,Veh,4900.281088000001,0.03768692915877355,15.623586654663086,-0.809,0.0,0.0,4856.341102929559,0.0,0.0,4900.281088000001,34.0,Surveillance,False,90
Plateaux,Akébou,Akébou 1,Kougnohou,12149.201621,0.06853627782447992,77.78756713867188,-0.511,0.0,0.0,1513.55170735529,0.0,0.0,12149.201621,34.5,Nouveaux ouvrages prioritaires,False,91
